//
//    Name:     cp932 to Unicode table
//    Unicode version: 2.0
//    Table version: 2.01
//    Table format:  Format A
//    Date:          04/15/98
//
//    Contact:       Shawn.Steele@microsoft.com
//
//    General notes: none
//
//    Format: Three tab-separated columns
//        Column //2 is the cp932 code (in hex)
//        Column //1 is the Unicode (in hex as 0xXXXX)
//        Column //3 is the Unicode name (follows a comment sign, '//')
//
//    The entries are in cp932 order
//
0x0000:0x00,	//NULL
0x0001:0x01,	//START OF HEADING
0x0002:0x02,	//START OF TEXT
0x0003:0x03,	//END OF TEXT
0x0004:0x04,	//END OF TRANSMISSION
0x0005:0x05,	//ENQUIRY
0x0006:0x06,	//ACKNOWLEDGE
0x0007:0x07,	//BELL
0x0008:0x08,	//BACKSPACE
0x0009:0x09,	//HORIZONTAL TABULATION
0x000A:0x0A,	//LINE FEED
0x000B:0x0B,	//VERTICAL TABULATION
0x000C:0x0C,	//FORM FEED
0x000D:0x0D,	//CARRIAGE RETURN
0x000E:0x0E,	//SHIFT OUT
0x000F:0x0F,	//SHIFT IN
0x0010:0x10,	//DATA LINK ESCAPE
0x0011:0x11,	//DEVICE CONTROL ONE
0x0012:0x12,	//DEVICE CONTROL TWO
0x0013:0x13,	//DEVICE CONTROL THREE
0x0014:0x14,	//DEVICE CONTROL FOUR
0x0015:0x15,	//NEGATIVE ACKNOWLEDGE
0x0016:0x16,	//SYNCHRONOUS IDLE
0x0017:0x17,	//END OF TRANSMISSION BLOCK
0x0018:0x18,	//CANCEL
0x0019:0x19,	//END OF MEDIUM
0x001A:0x1A,	//SUBSTITUTE
0x001B:0x1B,	//ESCAPE
0x001C:0x1C,	//FILE SEPARATOR
0x001D:0x1D,	//GROUP SEPARATOR
0x001E:0x1E,	//RECORD SEPARATOR
0x001F:0x1F,	//UNIT SEPARATOR
0x0020:0x20,	//SPACE
0x0021:0x21,	//EXCLAMATION MARK
0x0022:0x22,	//QUOTATION MARK
0x0023:0x23,	//NUMBER SIGN
0x0024:0x24,	//DOLLAR SIGN
0x0025:0x25,	//PERCENT SIGN
0x0026:0x26,	//AMPERSAND
0x0027:0x27,	//APOSTROPHE
0x0028:0x28,	//LEFT PARENTHESIS
0x0029:0x29,	//RIGHT PARENTHESIS
0x002A:0x2A,	//ASTERISK
0x002B:0x2B,	//PLUS SIGN
0x002C:0x2C,	//COMMA
0x002D:0x2D,	//HYPHEN-MINUS
0x002E:0x2E,	//FULL STOP
0x002F:0x2F,	//SOLIDUS
0x0030:0x30,	//DIGIT ZERO
0x0031:0x31,	//DIGIT ONE
0x0032:0x32,	//DIGIT TWO
0x0033:0x33,	//DIGIT THREE
0x0034:0x34,	//DIGIT FOUR
0x0035:0x35,	//DIGIT FIVE
0x0036:0x36,	//DIGIT SIX
0x0037:0x37,	//DIGIT SEVEN
0x0038:0x38,	//DIGIT EIGHT
0x0039:0x39,	//DIGIT NINE
0x003A:0x3A,	//COLON
0x003B:0x3B,	//SEMICOLON
0x003C:0x3C,	//LESS-THAN SIGN
0x003D:0x3D,	//EQUALS SIGN
0x003E:0x3E,	//GREATER-THAN SIGN
0x003F:0x3F,	//QUESTION MARK
0x0040:0x40,	//COMMERCIAL AT
0x0041:0x41,	//LATIN CAPITAL LETTER A
0x0042:0x42,	//LATIN CAPITAL LETTER B
0x0043:0x43,	//LATIN CAPITAL LETTER C
0x0044:0x44,	//LATIN CAPITAL LETTER D
0x0045:0x45,	//LATIN CAPITAL LETTER E
0x0046:0x46,	//LATIN CAPITAL LETTER F
0x0047:0x47,	//LATIN CAPITAL LETTER G
0x0048:0x48,	//LATIN CAPITAL LETTER H
0x0049:0x49,	//LATIN CAPITAL LETTER I
0x004A:0x4A,	//LATIN CAPITAL LETTER J
0x004B:0x4B,	//LATIN CAPITAL LETTER K
0x004C:0x4C,	//LATIN CAPITAL LETTER L
0x004D:0x4D,	//LATIN CAPITAL LETTER M
0x004E:0x4E,	//LATIN CAPITAL LETTER N
0x004F:0x4F,	//LATIN CAPITAL LETTER O
0x0050:0x50,	//LATIN CAPITAL LETTER P
0x0051:0x51,	//LATIN CAPITAL LETTER Q
0x0052:0x52,	//LATIN CAPITAL LETTER R
0x0053:0x53,	//LATIN CAPITAL LETTER S
0x0054:0x54,	//LATIN CAPITAL LETTER T
0x0055:0x55,	//LATIN CAPITAL LETTER U
0x0056:0x56,	//LATIN CAPITAL LETTER V
0x0057:0x57,	//LATIN CAPITAL LETTER W
0x0058:0x58,	//LATIN CAPITAL LETTER X
0x0059:0x59,	//LATIN CAPITAL LETTER Y
0x005A:0x5A,	//LATIN CAPITAL LETTER Z
0x005B:0x5B,	//LEFT SQUARE BRACKET
0x005C:0x5C,	//REVERSE SOLIDUS
0x005D:0x5D,	//RIGHT SQUARE BRACKET
0x005E:0x5E,	//CIRCUMFLEX ACCENT
0x005F:0x5F,	//LOW LINE
0x0060:0x60,	//GRAVE ACCENT
0x0061:0x61,	//LATIN SMALL LETTER A
0x0062:0x62,	//LATIN SMALL LETTER B
0x0063:0x63,	//LATIN SMALL LETTER C
0x0064:0x64,	//LATIN SMALL LETTER D
0x0065:0x65,	//LATIN SMALL LETTER E
0x0066:0x66,	//LATIN SMALL LETTER F
0x0067:0x67,	//LATIN SMALL LETTER G
0x0068:0x68,	//LATIN SMALL LETTER H
0x0069:0x69,	//LATIN SMALL LETTER I
0x006A:0x6A,	//LATIN SMALL LETTER J
0x006B:0x6B,	//LATIN SMALL LETTER K
0x006C:0x6C,	//LATIN SMALL LETTER L
0x006D:0x6D,	//LATIN SMALL LETTER M
0x006E:0x6E,	//LATIN SMALL LETTER N
0x006F:0x6F,	//LATIN SMALL LETTER O
0x0070:0x70,	//LATIN SMALL LETTER P
0x0071:0x71,	//LATIN SMALL LETTER Q
0x0072:0x72,	//LATIN SMALL LETTER R
0x0073:0x73,	//LATIN SMALL LETTER S
0x0074:0x74,	//LATIN SMALL LETTER T
0x0075:0x75,	//LATIN SMALL LETTER U
0x0076:0x76,	//LATIN SMALL LETTER V
0x0077:0x77,	//LATIN SMALL LETTER W
0x0078:0x78,	//LATIN SMALL LETTER X
0x0079:0x79,	//LATIN SMALL LETTER Y
0x007A:0x7A,	//LATIN SMALL LETTER Z
0x007B:0x7B,	//LEFT CURLY BRACKET
0x007C:0x7C,	//VERTICAL LINE
0x007D:0x7D,	//RIGHT CURLY BRACKET
0x007E:0x7E,	//TILDE
0x007F:0x7F,	//DELETE
0x80	      	//UNDEFINED
0x81	      	//DBCS LEAD BYTE
0x82	      	//DBCS LEAD BYTE
0x83	      	//DBCS LEAD BYTE
0x84	      	//DBCS LEAD BYTE
0x85	      	//DBCS LEAD BYTE
0x86	      	//DBCS LEAD BYTE
0x87	      	//DBCS LEAD BYTE
0x88	      	//DBCS LEAD BYTE
0x89	      	//DBCS LEAD BYTE
0x8A	      	//DBCS LEAD BYTE
0x8B	      	//DBCS LEAD BYTE
0x8C	      	//DBCS LEAD BYTE
0x8D	      	//DBCS LEAD BYTE
0x8E	      	//DBCS LEAD BYTE
0x8F	      	//DBCS LEAD BYTE
0x90	      	//DBCS LEAD BYTE
0x91	      	//DBCS LEAD BYTE
0x92	      	//DBCS LEAD BYTE
0x93	      	//DBCS LEAD BYTE
0x94	      	//DBCS LEAD BYTE
0x95	      	//DBCS LEAD BYTE
0x96	      	//DBCS LEAD BYTE
0x97	      	//DBCS LEAD BYTE
0x98	      	//DBCS LEAD BYTE
0x99	      	//DBCS LEAD BYTE
0x9A	      	//DBCS LEAD BYTE
0x9B	      	//DBCS LEAD BYTE
0x9C	      	//DBCS LEAD BYTE
0x9D	      	//DBCS LEAD BYTE
0x9E	      	//DBCS LEAD BYTE
0x9F	      	//DBCS LEAD BYTE
0xA0	      	//UNDEFINED
0xFF61:0xA1,	//HALFWIDTH IDEOGRAPHIC FULL STOP
0xFF62:0xA2,	//HALFWIDTH LEFT CORNER BRACKET
0xFF63:0xA3,	//HALFWIDTH RIGHT CORNER BRACKET
0xFF64:0xA4,	//HALFWIDTH IDEOGRAPHIC COMMA
0xFF65:0xA5,	//HALFWIDTH KATAKANA MIDDLE DOT
0xFF66:0xA6,	//HALFWIDTH KATAKANA LETTER WO
0xFF67:0xA7,	//HALFWIDTH KATAKANA LETTER SMALL A
0xFF68:0xA8,	//HALFWIDTH KATAKANA LETTER SMALL I
0xFF69:0xA9,	//HALFWIDTH KATAKANA LETTER SMALL U
0xFF6A:0xAA,	//HALFWIDTH KATAKANA LETTER SMALL E
0xFF6B:0xAB,	//HALFWIDTH KATAKANA LETTER SMALL O
0xFF6C:0xAC,	//HALFWIDTH KATAKANA LETTER SMALL YA
0xFF6D:0xAD,	//HALFWIDTH KATAKANA LETTER SMALL YU
0xFF6E:0xAE,	//HALFWIDTH KATAKANA LETTER SMALL YO
0xFF6F:0xAF,	//HALFWIDTH KATAKANA LETTER SMALL TU
0xFF70:0xB0,	//HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
0xFF71:0xB1,	//HALFWIDTH KATAKANA LETTER A
0xFF72:0xB2,	//HALFWIDTH KATAKANA LETTER I
0xFF73:0xB3,	//HALFWIDTH KATAKANA LETTER U
0xFF74:0xB4,	//HALFWIDTH KATAKANA LETTER E
0xFF75:0xB5,	//HALFWIDTH KATAKANA LETTER O
0xFF76:0xB6,	//HALFWIDTH KATAKANA LETTER KA
0xFF77:0xB7,	//HALFWIDTH KATAKANA LETTER KI
0xFF78:0xB8,	//HALFWIDTH KATAKANA LETTER KU
0xFF79:0xB9,	//HALFWIDTH KATAKANA LETTER KE
0xFF7A:0xBA,	//HALFWIDTH KATAKANA LETTER KO
0xFF7B:0xBB,	//HALFWIDTH KATAKANA LETTER SA
0xFF7C:0xBC,	//HALFWIDTH KATAKANA LETTER SI
0xFF7D:0xBD,	//HALFWIDTH KATAKANA LETTER SU
0xFF7E:0xBE,	//HALFWIDTH KATAKANA LETTER SE
0xFF7F:0xBF,	//HALFWIDTH KATAKANA LETTER SO
0xFF80:0xC0,	//HALFWIDTH KATAKANA LETTER TA
0xFF81:0xC1,	//HALFWIDTH KATAKANA LETTER TI
0xFF82:0xC2,	//HALFWIDTH KATAKANA LETTER TU
0xFF83:0xC3,	//HALFWIDTH KATAKANA LETTER TE
0xFF84:0xC4,	//HALFWIDTH KATAKANA LETTER TO
0xFF85:0xC5,	//HALFWIDTH KATAKANA LETTER NA
0xFF86:0xC6,	//HALFWIDTH KATAKANA LETTER NI
0xFF87:0xC7,	//HALFWIDTH KATAKANA LETTER NU
0xFF88:0xC8,	//HALFWIDTH KATAKANA LETTER NE
0xFF89:0xC9,	//HALFWIDTH KATAKANA LETTER NO
0xFF8A:0xCA,	//HALFWIDTH KATAKANA LETTER HA
0xFF8B:0xCB,	//HALFWIDTH KATAKANA LETTER HI
0xFF8C:0xCC,	//HALFWIDTH KATAKANA LETTER HU
0xFF8D:0xCD,	//HALFWIDTH KATAKANA LETTER HE
0xFF8E:0xCE,	//HALFWIDTH KATAKANA LETTER HO
0xFF8F:0xCF,	//HALFWIDTH KATAKANA LETTER MA
0xFF90:0xD0,	//HALFWIDTH KATAKANA LETTER MI
0xFF91:0xD1,	//HALFWIDTH KATAKANA LETTER MU
0xFF92:0xD2,	//HALFWIDTH KATAKANA LETTER ME
0xFF93:0xD3,	//HALFWIDTH KATAKANA LETTER MO
0xFF94:0xD4,	//HALFWIDTH KATAKANA LETTER YA
0xFF95:0xD5,	//HALFWIDTH KATAKANA LETTER YU
0xFF96:0xD6,	//HALFWIDTH KATAKANA LETTER YO
0xFF97:0xD7,	//HALFWIDTH KATAKANA LETTER RA
0xFF98:0xD8,	//HALFWIDTH KATAKANA LETTER RI
0xFF99:0xD9,	//HALFWIDTH KATAKANA LETTER RU
0xFF9A:0xDA,	//HALFWIDTH KATAKANA LETTER RE
0xFF9B:0xDB,	//HALFWIDTH KATAKANA LETTER RO
0xFF9C:0xDC,	//HALFWIDTH KATAKANA LETTER WA
0xFF9D:0xDD,	//HALFWIDTH KATAKANA LETTER N
0xFF9E:0xDE,	//HALFWIDTH KATAKANA VOICED SOUND MARK
0xFF9F:0xDF,	//HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
0xE0	      	//DBCS LEAD BYTE
0xE1	      	//DBCS LEAD BYTE
0xE2	      	//DBCS LEAD BYTE
0xE3	      	//DBCS LEAD BYTE
0xE4	      	//DBCS LEAD BYTE
0xE5	      	//DBCS LEAD BYTE
0xE6	      	//DBCS LEAD BYTE
0xE7	      	//DBCS LEAD BYTE
0xE8	      	//DBCS LEAD BYTE
0xE9	      	//DBCS LEAD BYTE
0xEA	      	//DBCS LEAD BYTE
0xEB	      	//DBCS LEAD BYTE
0xEC	      	//DBCS LEAD BYTE
0xED	      	//DBCS LEAD BYTE
0xEE	      	//DBCS LEAD BYTE
0xEF	      	//DBCS LEAD BYTE
0xF0	      	//DBCS LEAD BYTE
0xF1	      	//DBCS LEAD BYTE
0xF2	      	//DBCS LEAD BYTE
0xF3	      	//DBCS LEAD BYTE
0xF4	      	//DBCS LEAD BYTE
0xF5	      	//DBCS LEAD BYTE
0xF6	      	//DBCS LEAD BYTE
0xF7	      	//DBCS LEAD BYTE
0xF8	      	//DBCS LEAD BYTE
0xF9	      	//DBCS LEAD BYTE
0xFA	      	//DBCS LEAD BYTE
0xFB	      	//DBCS LEAD BYTE
0xFC	      	//DBCS LEAD BYTE
0xFD	      	//UNDEFINED
0xFE	      	//UNDEFINED
0xFF	      	//UNDEFINED
0x3000:0x8140,	//IDEOGRAPHIC SPACE
0x3001:0x8141,	//IDEOGRAPHIC COMMA
0x3002:0x8142,	//IDEOGRAPHIC FULL STOP
0xFF0C:0x8143,	//FULLWIDTH COMMA
0xFF0E:0x8144,	//FULLWIDTH FULL STOP
0x30FB:0x8145,	//KATAKANA MIDDLE DOT
0xFF1A:0x8146,	//FULLWIDTH COLON
0xFF1B:0x8147,	//FULLWIDTH SEMICOLON
0xFF1F:0x8148,	//FULLWIDTH QUESTION MARK
0xFF01:0x8149,	//FULLWIDTH EXCLAMATION MARK
0x309B:0x814A,	//KATAKANA-HIRAGANA VOICED SOUND MARK
0x309C:0x814B,	//KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
0x00B4:0x814C,	//ACUTE ACCENT
0xFF40:0x814D,	//FULLWIDTH GRAVE ACCENT
0x00A8:0x814E,	//DIAERESIS
0xFF3E:0x814F,	//FULLWIDTH CIRCUMFLEX ACCENT
0xFFE3:0x8150,	//FULLWIDTH MACRON
0xFF3F:0x8151,	//FULLWIDTH LOW LINE
0x30FD:0x8152,	//KATAKANA ITERATION MARK
0x30FE:0x8153,	//KATAKANA VOICED ITERATION MARK
0x309D:0x8154,	//HIRAGANA ITERATION MARK
0x309E:0x8155,	//HIRAGANA VOICED ITERATION MARK
0x3003:0x8156,	//DITTO MARK
0x4EDD:0x8157,	//CJK UNIFIED IDEOGRAPH
0x3005:0x8158,	//IDEOGRAPHIC ITERATION MARK
0x3006:0x8159,	//IDEOGRAPHIC CLOSING MARK
0x3007:0x815A,	//IDEOGRAPHIC NUMBER ZERO
0x30FC:0x815B,	//KATAKANA-HIRAGANA PROLONGED SOUND MARK
0x2015:0x815C,	//HORIZONTAL BAR
0x2010:0x815D,	//HYPHEN
0xFF0F:0x815E,	//FULLWIDTH SOLIDUS
0xFF3C:0x815F,	//FULLWIDTH REVERSE SOLIDUS
0xFF5E:0x8160,	//FULLWIDTH TILDE
0x2225:0x8161,	//PARALLEL TO
0xFF5C:0x8162,	//FULLWIDTH VERTICAL LINE
0x2026:0x8163,	//HORIZONTAL ELLIPSIS
0x2025:0x8164,	//TWO DOT LEADER
0x2018:0x8165,	//LEFT SINGLE QUOTATION MARK
0x2019:0x8166,	//RIGHT SINGLE QUOTATION MARK
0x201C:0x8167,	//LEFT DOUBLE QUOTATION MARK
0x201D:0x8168,	//RIGHT DOUBLE QUOTATION MARK
0xFF08:0x8169,	//FULLWIDTH LEFT PARENTHESIS
0xFF09:0x816A,	//FULLWIDTH RIGHT PARENTHESIS
0x3014:0x816B,	//LEFT TORTOISE SHELL BRACKET
0x3015:0x816C,	//RIGHT TORTOISE SHELL BRACKET
0xFF3B:0x816D,	//FULLWIDTH LEFT SQUARE BRACKET
0xFF3D:0x816E,	//FULLWIDTH RIGHT SQUARE BRACKET
0xFF5B:0x816F,	//FULLWIDTH LEFT CURLY BRACKET
0xFF5D:0x8170,	//FULLWIDTH RIGHT CURLY BRACKET
0x3008:0x8171,	//LEFT ANGLE BRACKET
0x3009:0x8172,	//RIGHT ANGLE BRACKET
0x300A:0x8173,	//LEFT DOUBLE ANGLE BRACKET
0x300B:0x8174,	//RIGHT DOUBLE ANGLE BRACKET
0x300C:0x8175,	//LEFT CORNER BRACKET
0x300D:0x8176,	//RIGHT CORNER BRACKET
0x300E:0x8177,	//LEFT WHITE CORNER BRACKET
0x300F:0x8178,	//RIGHT WHITE CORNER BRACKET
0x3010:0x8179,	//LEFT BLACK LENTICULAR BRACKET
0x3011:0x817A,	//RIGHT BLACK LENTICULAR BRACKET
0xFF0B:0x817B,	//FULLWIDTH PLUS SIGN
0xFF0D:0x817C,	//FULLWIDTH HYPHEN-MINUS
0x00B1:0x817D,	//PLUS-MINUS SIGN
0x00D7:0x817E,	//MULTIPLICATION SIGN
0x00F7:0x8180,	//DIVISION SIGN
0xFF1D:0x8181,	//FULLWIDTH EQUALS SIGN
0x2260:0x8182,	//NOT EQUAL TO
0xFF1C:0x8183,	//FULLWIDTH LESS-THAN SIGN
0xFF1E:0x8184,	//FULLWIDTH GREATER-THAN SIGN
0x2266:0x8185,	//LESS-THAN OVER EQUAL TO
0x2267:0x8186,	//GREATER-THAN OVER EQUAL TO
0x221E:0x8187,	//INFINITY
0x2234:0x8188,	//THEREFORE
0x2642:0x8189,	//MALE SIGN
0x2640:0x818A,	//FEMALE SIGN
0x00B0:0x818B,	//DEGREE SIGN
0x2032:0x818C,	//PRIME
0x2033:0x818D,	//DOUBLE PRIME
0x2103:0x818E,	//DEGREE CELSIUS
0xFFE5:0x818F,	//FULLWIDTH YEN SIGN
0xFF04:0x8190,	//FULLWIDTH DOLLAR SIGN
0xFFE0:0x8191,	//FULLWIDTH CENT SIGN
0xFFE1:0x8192,	//FULLWIDTH POUND SIGN
0xFF05:0x8193,	//FULLWIDTH PERCENT SIGN
0xFF03:0x8194,	//FULLWIDTH NUMBER SIGN
0xFF06:0x8195,	//FULLWIDTH AMPERSAND
0xFF0A:0x8196,	//FULLWIDTH ASTERISK
0xFF20:0x8197,	//FULLWIDTH COMMERCIAL AT
0x00A7:0x8198,	//SECTION SIGN
0x2606:0x8199,	//WHITE STAR
0x2605:0x819A,	//BLACK STAR
0x25CB:0x819B,	//WHITE CIRCLE
0x25CF:0x819C,	//BLACK CIRCLE
0x25CE:0x819D,	//BULLSEYE
0x25C7:0x819E,	//WHITE DIAMOND
0x25C6:0x819F,	//BLACK DIAMOND
0x25A1:0x81A0,	//WHITE SQUARE
0x25A0:0x81A1,	//BLACK SQUARE
